"N"	"N.honest"
"1"	3.82003549395618	3.74411051446247
"2"	3.85682855376529	3.72828450725366
"3"	3.78738507177698	3.71192590769308
"4"	3.7419798699209	3.76495856840502
"5"	3.79300943547492	3.73470273642061
"6"	3.79411094430548	3.73044618384159
"7"	3.80630864003898	3.71360790156801
"8"	3.74720291608163	3.77495769363898
"9"	3.83909687013989	3.77980652597731
"10"	3.78901526054055	3.7667418967546
"11"	3.83368936812523	3.70719795005684
"12"	3.84153809776787	3.73022980003088
"13"	3.69138094613982	3.81196737211568
"14"	3.83492268895583	3.6501176943468
"15"	3.78224913055652	3.80977588635337
"16"	3.70039199062897	3.7543169942601
"17"	3.82257444514907	3.76512582616737
"18"	3.74366109343827	3.75679176753033
"19"	3.76476729881608	3.69643930233637
"20"	3.82023034318689	3.76317164527105
"21"	3.7179929320845	3.73440075407219
"22"	3.79703486317168	3.82297026935825
"23"	3.8374078143436	3.67615505236339
"24"	3.70555482066059	3.83638309377594
"25"	3.86164981187695	3.78148937487851
"26"	3.84113452076848	3.77934545914573
"27"	3.79199983903664	3.71180440220557
"28"	3.73720962982564	3.76508911866354
"29"	3.85472755631293	3.73741810736959
"30"	3.74159018318654	3.73614884990554
"31"	3.84441369587532	3.72024852505701
"32"	3.75092056361547	3.68243060125918
"33"	3.78933887019507	3.70025185680736
"34"	3.78278591378116	3.72564063734016
"35"	3.80572206875225	3.75383819174281
"36"	3.77672229757364	3.72771493196049
"37"	3.87031905434288	3.71473623577314
"38"	3.79921305590171	3.8101094682179
"39"	3.82581163863972	3.7869775065912
"40"	3.8098318833575	3.74967511332098
"41"	3.78864267580489	3.7859832768739
"42"	3.66334835749533	3.74818231580723
"43"	3.83567564493432	3.75295058213607
"44"	3.80636578672708	3.74747808207156
"45"	3.76577400112564	3.71351295381896
"46"	3.85596214755052	3.76986083362069
"47"	3.73889418748894	3.75890884076425
"48"	3.71048751139108	3.72091064174597
"49"	3.80889281886518	3.77295719242028
"50"	3.78146003691182	3.71534489187465
"51"	3.7710785932176	3.79710982957691
"52"	3.73678142226305	3.77581338852717
"53"	3.78838853483853	3.73365822957873
"54"	3.75205770691796	3.65910193436758
"55"	3.69356815946259	3.69791788718363
"56"	3.74634596708149	3.7057270974042
"57"	3.76836416239205	3.70285245555625
"58"	3.77661306180559	3.71844568248649
"59"	3.78580483306483	3.67974440157764
"60"	3.82490236017366	3.72392434902916
"61"	3.75407423571898	3.71793169326256
"62"	3.80144219170741	3.72901723931993
"63"	3.81279140374488	3.75590861370141
"64"	3.83127689454695	3.74614895284497
"65"	3.804806507477	3.71029737005181
"66"	3.72392908454754	3.66212001628602
"67"	3.80186936649047	3.73543194391346
"68"	3.75144794840627	3.71833407470178
"69"	3.81356848938975	3.74142108563799
"70"	3.79624550443479	3.64126003618833
"71"	3.79244527304023	3.74489960377873
"72"	3.69464171055353	3.74055336695416
"73"	3.74889931570192	3.70204834819358
"74"	3.82415940947222	3.76360991786294
"75"	3.74798116501016	3.72662061170565
"76"	3.82268943549425	3.68921679305157
"77"	3.81569151445256	3.73173897914064
"78"	3.79306020990448	3.74825081331143
"79"	3.79173864802365	3.70333827214877
"80"	3.79821394663793	3.74678610465174
"81"	3.81143939445622	3.7354129516104
"82"	3.77160630231952	3.8135594037866
"83"	3.7934083635865	3.73049896934392
"84"	3.85802963999744	3.74176970824274
"85"	3.79966255175746	3.77610558672372
"86"	3.80463670193447	3.6994948763593
"87"	3.76869413426225	3.76973490957568
"88"	3.80112736650688	3.76458114084867
"89"	3.71586674592965	3.72254451424262
"90"	3.69669810201456	3.77279541805573
"91"	3.80139517911321	3.71645887389107
"92"	3.79024408702994	3.74481908968164
"93"	3.800721591527	3.69935469352458
"94"	3.77356171666347	3.77382045835137
"95"	3.79567678162315	3.66885774012506
"96"	3.79811968412949	3.64116229021511
"97"	3.76915682544661	3.65915683895522
"98"	3.75982845846322	3.7370233151154
"99"	3.81237467469447	3.72680997146275
"100"	3.72595486434927	3.66495991641911
"101"	3.78979807616119	3.71107646105973
"102"	3.88743816326694	3.69913209501256
"103"	3.72932483150997	3.75694691116401
"104"	3.73890603099026	3.76932355898255
"105"	3.83028196862232	3.75733630263439
"106"	3.78403775427298	3.82693445506951
"107"	3.86529456135582	3.72076483074452
"108"	3.8080475760667	3.72979295586606
"109"	3.81405930469814	3.69351707725318
"110"	3.83653978438405	3.66717815211196
"111"	3.80086817694924	3.71239785723213
"112"	3.73992385749505	3.71476298806675
"113"	3.69285986645732	3.77652259883007
"114"	3.75435385258723	3.78808687831685
"115"	3.79795179555749	3.77236998174185
"116"	3.76682330688514	3.70972980341536
"117"	3.8212165557355	3.70192444605684
"118"	3.75224876465482	3.79451185443022
"119"	3.7617132766154	3.71245840614064
"120"	3.82243551913763	3.73378923265643
"121"	3.72110422423122	3.74809253034141
"122"	3.76527227800755	3.73840753851885
"123"	3.77025891618939	3.76987662529971
"124"	3.77229035870951	3.73899885391228
"125"	3.89374785972552	3.70803168095773
"126"	3.89793874980532	3.73523185957444
"127"	3.86605666401161	3.77424370454476
"128"	3.78431442709793	3.79006962235827
"129"	3.80490159670092	3.71899893530589
"130"	3.77783666363027	3.73518308781762
"131"	3.81612780923306	3.71327273914597
"132"	3.75020934172098	3.77529777362758
"133"	3.76962418899782	3.72078435923909
"134"	3.791201729983	3.72624303414958
"135"	3.79482211285648	3.75341850750739
"136"	3.68239435823301	3.67492784849138
"137"	3.77637910729129	3.73144858685313
"138"	3.86074804198966	3.77012846739053
"139"	3.84654507739898	3.75146545311568
"140"	3.8282316764739	3.71144120738264
"141"	3.79659786368509	3.68800769709503
"142"	3.76794199860658	3.75382450278906
"143"	3.85712000944005	3.78152793218185
"144"	3.81424018162741	3.72101286712031
"145"	3.80139067721176	3.68911999669273
"146"	3.74450712460448	3.71890164374432
"147"	3.69402025639226	3.72361701697787
"148"	3.84512191846411	3.74308389573975
"149"	3.77054121579249	3.7565614159423
"150"	3.74487108947704	3.74848140361513
"151"	3.79671886329058	3.7688974697726
"152"	3.8419751851187	3.71977250248489
"153"	3.77039551677234	3.69569331981908
"154"	3.87465272324117	3.74825573098755
"155"	3.86107572255555	3.77366784446675
"156"	3.72269570330078	3.80211971857376
"157"	3.79428514049623	3.78870199622083
"158"	3.86312788169484	3.7044387136662
"159"	3.80285337091571	3.70093899184821
"160"	3.74462190664199	3.72547555334971
"161"	3.87768710148703	3.76284684056842
"162"	3.84912819711041	3.69072661415102
"163"	3.7134121057538	3.73466180527555
"164"	3.73539233720897	3.76310699510897
"165"	3.75835097474986	3.70595304869253
"166"	3.81534919422856	3.75868129659721
"167"	3.80952077669219	3.75231376587165
"168"	3.7684060290153	3.67921524200031
"169"	3.75063745723203	3.65249485846268
"170"	3.74773872982584	3.72971191745504
"171"	3.86359787659249	3.76860729694519
"172"	3.78110026783348	3.72483950092611
"173"	3.84846281348684	3.77579188462674
"174"	3.76451545379517	3.78170734784585
"175"	3.75578972360199	3.63208884804951
"176"	3.8203510247089	3.73980891611193
"177"	3.81327751860726	3.75799546512857
"178"	3.79456941353714	3.69922480813912
"179"	3.75847436581516	3.72872928243291
"180"	3.76160014013164	3.7150275298754
"181"	3.78700531904966	3.73192554365405
"182"	3.75505752584395	3.75054213593568
"183"	3.83092370415889	3.69854955835616
"184"	3.80809327583809	3.74376868567263
"185"	3.72075940292521	3.73908934151987
"186"	3.70196832513793	3.65036098053299
"187"	3.79757510120382	3.71366050752265
"188"	3.91219536700538	3.71993678882571
"189"	3.84393941557895	3.70469551978624
"190"	3.88482554272917	3.72621526164062
"191"	3.7885213415999	3.75002430718583
"192"	3.79870143030153	3.71111988099488
"193"	3.82431309674828	3.76405730937013
"194"	3.85168643384077	3.73350009682872
"195"	3.80608891847813	3.70748665055899
"196"	3.82664233993408	3.76045759105721
"197"	3.85483225026073	3.71115722850428
"198"	3.76543467147152	3.73819997515385
"199"	3.80883347364718	3.75309577850678
"200"	3.86395872494032	3.72783483686189
"201"	3.82196309442974	3.71478529418488
"202"	3.88768610852704	3.71981496238925
"203"	3.81773884844848	3.71809330961815
"204"	3.79817072358029	3.72068186826227
"205"	3.75163995806684	3.67313204336778
"206"	3.83797634003642	3.76852407094852
"207"	3.83015033850173	3.73979499920281
"208"	3.87824602643694	3.78933849903768
"209"	3.83720262633707	3.78927193800162
"210"	3.68628271126714	3.75389276518129
"211"	3.76093785176943	3.68312028218249
"212"	3.82756534375381	3.67746380941346
"213"	3.78053844629283	3.73279597431616
"214"	3.78240759762012	3.76050596218101
"215"	3.75757538728305	3.75304492661018
"216"	3.74384629923746	3.77961408444771
"217"	3.81421172076288	3.7337928804172
"218"	3.79286131320075	3.73260834742729
"219"	3.80516983807338	3.7372879644049
"220"	3.73079628633742	3.77986389144857
"221"	3.79684716193064	3.74849738996349
"222"	3.83672449037191	3.77098639761352
"223"	3.75440535305446	3.77066783594855
"224"	3.79836598345473	3.79026252134936
"225"	3.75952501657973	3.76880749728853
"226"	3.7475203706284	3.76983507772913
"227"	3.78895528963288	3.73388469663963
"228"	3.80751549443808	3.77124729712734
"229"	3.66051147986879	3.71998749242197
"230"	3.80880756324465	3.75101539524252
"231"	3.70551017880226	3.67485702348292
"232"	3.82303043722668	3.77365096473757
"233"	3.73506060836502	3.75629147643363
"234"	3.82543868057025	3.71502759648309
"235"	3.72470880339151	3.75691984705283
"236"	3.70515422715202	3.70481602640678
"237"	3.7751809327851	3.79549822479339
"238"	3.84328196132927	3.76161369631184
"239"	3.82810820220921	3.72156353619558
"240"	3.78174137935519	3.68467640597767
"241"	3.83121933827252	3.77249271650629
"242"	3.83674359139718	3.71361797989124
"243"	3.75760685968103	3.76438508255907
"244"	3.81471835259715	3.75719593599907
"245"	3.75016805493623	3.80337695649724
"246"	3.78744236034275	3.69579456974992
"247"	3.74857953804547	3.74869387857438
"248"	3.77191875726507	3.78124627297027
"249"	3.80915536719402	3.77119495369527
"250"	3.74679533117949	3.75028647023981
"251"	3.78126971612677	3.66093953719256
"252"	3.75017961853904	3.77213752565737
"253"	3.74464712796905	3.76479765486104
"254"	3.80336976324928	3.74504728949773
"255"	3.8061005282993	3.73783776757595
"256"	3.78848302850395	3.76430310996675
"257"	3.73640939613437	3.74659035135092
"258"	3.78430549949284	3.78582914479242
"259"	3.74458590995963	3.71741538084859
"260"	3.79938152039474	3.70236784470375
"261"	3.77957498424909	3.74537699853492
"262"	3.71194101264074	3.68868114408478
"263"	3.7734310376144	3.68174553865011
"264"	3.71472927761299	3.70006810807003
"265"	3.74167330395905	3.81130667560673
"266"	3.74980913518756	3.72358942430267
"267"	3.81603228321344	3.7444426611171
"268"	3.78656529082624	3.73269991981054
"269"	3.80609100249863	3.78729605870917
"270"	3.88940379717482	3.69659193754715
"271"	3.82773409035583	3.78216272231491
"272"	3.7958092637308	3.71658863911138
"273"	3.82120942005373	3.73771814801838
"274"	3.73468271603962	3.68353343639885
"275"	3.73345168625584	3.78804732458016
"276"	3.80642974954561	3.72342871529254
"277"	3.75152422412543	3.78543373839298
"278"	3.80703349496169	3.78631526132746
"279"	3.84300440330068	3.77426482776225
"280"	3.84127654346884	3.73539568475568
"281"	3.77173703125625	3.72012316163992
"282"	3.85185511010982	3.74527040779734
"283"	3.75160861469125	3.66875817126977
"284"	3.76308501615361	3.81083274620448
"285"	3.77311215609121	3.69794638396624
"286"	3.79928713478485	3.70668316163017
"287"	3.79319498010035	3.77664108186916
"288"	3.91325325237611	3.7331489019406
"289"	3.70218089156948	3.71352512775826
"290"	3.80459546927017	3.71832117275219
"291"	3.82511723680221	3.73291602393782
"292"	3.75276278113928	3.7064124093811
"293"	3.84156440630621	3.72716723848076
"294"	3.72827088224321	3.75119771222151
"295"	3.91012721056311	3.68989683319663
"296"	3.82837270689054	3.72675874914808
"297"	3.74891268780343	3.78302050947449
"298"	3.77300694951338	3.76900154218226
"299"	3.72557868705684	3.72508399944589
"300"	3.84808569408928	3.75776306307811
"301"	3.85463706710414	3.83181484769153
"302"	3.78639047769841	3.78834634159004
"303"	3.72559727156547	3.76217630644052
"304"	3.76224131929781	3.75758074800959
"305"	3.75929133209545	3.76190104408724
"306"	3.75932540351828	3.82780823915721
