"N"	"N.honest"
"1"	3.83084635451886	5.00227415325441
"2"	3.38768948686888	2.56977928499384
"3"	3.64359228101321	3.96683828402471
"4"	4.00857886050673	3.56881171466411
"5"	2.07404988902196	4.95996164448184
"6"	4.75669967864416	5.45391183063504
"7"	5.26681948235426	4.41400929671567
"8"	6.07918915909683	6.41224676706447
"9"	5.67992875479834	5.85149920734233
"10"	3.04661269110119	5.60121977677316
"11"	3.59933263898712	3.4465325167414
"12"	4.68076123316622	5.98133405474457
"13"	4.50221426033812	4.20061109508428
"14"	4.75997475582304	4.44257355261452
"15"	4.37582896246231	4.97867939170235
"16"	5.81245211471855	3.52890736861603
"17"	4.31511823965234	4.47518969359574
"18"	3.48804411615089	3.92790637848978
"19"	3.80181385614805	6.55128467066285
"20"	5.8030632894389	4.30583133679948
"21"	5.17912012353417	5.11681764039931
"22"	5.73500132581749	5.30896719582181
"23"	5.58748188676478	5.91861027429973
"24"	6.39083517130712	5.59541727464391
"25"	3.08573444755271	6.64029762310933
"26"	2.90257019870478	4.43039644141855
"27"	5.18131868172631	5.90274448440272
"28"	2.89151707586681	4.22913410080045
"29"	3.24629559477173	3.67206924557859
"30"	3.59898812300234	7.60216039257104
"31"	6.74275770122154	6.3670384626877
"32"	3.18764081023235	7.77576979972419
"33"	3.23631225963247	6.07501452772506
"34"	4.15298965532459	6.10220663162952
"35"	6.96153946783797	5.22414804934089
"36"	6.2131101348977	4.11190247792553
"37"	2.92224146509494	3.3287038181113
"38"	3.61076403215854	6.61475068087314
"39"	4.6912646245775	3.70143334979682
"40"	4.06661341312371	3.89385018755663
"41"	3.61795597343416	5.41259793784518
"42"	3.29688869023854	5.56552614964689
"43"	5.95614806414134	4.46183672075872
"44"	3.54085945099897	5.4203483221624
"45"	4.08590426253376	5.82196429517548
"46"	7.74273622208081	6.12729529797378
"47"	4.67680313912542	4.62407195053067
"48"	3.57953666435865	5.7762863435452
"49"	3.07769201185188	5.2191092459586
"50"	3.8720839353812	6.00463267968159
"51"	4.8111116723076	5.06855898497534
"52"	2.75172701859001	4.42063168134775
"53"	5.7450526282293	3.45190817274952
"54"	2.85872359373583	5.19076447621905
"55"	2.66459484284287	5.92397085139154
"56"	5.07892067202445	4.01738757867607
"57"	2.97720389466914	4.58409814691568
"58"	3.75909630228481	4.34913155289938
"59"	6.7407703150831	5.34499059943005
"60"	3.38653649123542	3.7744478935578
"61"	6.15107002449032	4.04801550984873
"62"	3.34850862171039	6.84402977886825
"63"	5.87907030102571	2.82215352895514
"64"	2.20511477667195	5.32289910422744
"65"	4.07215838369371	5.06270956840882
"66"	6.19303174679643	4.23378838407507
"67"	5.25426527287096	5.03748808954147
"68"	5.39748981457432	5.98860803108003
"69"	2.7057759566309	6.15762917277111
"70"	3.67841654107962	3.57372949857529
