"forest"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
1	1.53355225085442	1.26882960607198	1.11730685801593	1.0454588401349	1.00863535439813	0.98918639830086	0.98109670857126	0.980456965673562	1.03305179900201	-0.235780369237827	-0.0224592727231281	0.099642101674982	0.157539294298548	0.187212714799911	0.202885241206353	0.209404145114254	0.209919668282046	0.167537243741626	1.19268374283183	1.07695935311344	1.02513660744569	0.99708843533218	0.984670448709916	0.97869222664024	0.979483546970492	1.0326522763347	1.09834408602035	0.0389012469060055	0.132155277850391	0.173915532018797	0.196517553222553	0.206524322854759	0.211341745588503	0.210704076979977	0.167859190560883	0.11492284699384
2	1.53443896957309	1.27184830759834	1.11673962158921	1.04465332961609	1.00860011354286	0.989139500244906	0.980596663427789	0.97956463689495	1.03230086286418	-0.236494912602724	-0.0248918289563926	0.100099197049772	0.158188397767834	0.187241112891408	0.202923033004364	0.209807095826686	0.210638732394077	0.16814236961012	1.18762996000386	1.07615872928814	1.02453307734094	0.99866476983506	0.984461897962685	0.978035502890422	0.979297973145147	1.0336813052898	1.09667155955832	0.0429737299959764	0.132800443481951	0.174401873879845	0.195247297688106	0.206692379025832	0.211870952413758	0.210853617688667	0.167029969527571	0.116270616766707
3	1.53182912497543	1.27025727908334	1.11621977925379	1.04497701562379	1.00859619523361	0.98902915982023	0.981409792741174	0.980165430892162	1.03381390446605	-0.234391825004141	-0.023609732565721	0.100518100907043	0.15792756230306	0.18724427037734	0.203011948481924	0.209151852914308	0.210154595366925	0.166923117309854	1.19019784159739	1.07597522131875	1.02646073386729	0.997293115081063	0.984673049059378	0.978267824125478	0.979178942668678	1.03209386476654	1.09716647664717	0.0409044573891646	0.132948319464682	0.17284851298681	0.196352616412927	0.206522227418613	0.211683741302118	0.210949535859098	0.168309174611639	0.115871798387707
4	1.53406549078822	1.26849763381426	1.11878286360469	1.04594017170749	1.00854984705089	0.989010503541028	0.981643930978872	0.980071637668115	1.03371969130173	-0.236193952690595	-0.022191759960525	0.0984526940558733	0.157151423518033	0.187281619071729	0.203026982246563	0.208963177609848	0.210230176635826	0.166999036978668	1.1883118758904	1.07488156194145	1.02450644746734	0.997536008118819	0.984439142856502	0.978787227225189	0.979349107567491	1.03326897168008	1.09762621542793	0.0424242226247171	0.133829621545099	0.174423332995446	0.196156886239589	0.206710715742761	0.211265191393573	0.210812412105166	0.167362239771497	0.115501327697887
5	1.53798173355376	1.27020643992224	1.11437304077631	1.04478424565986	1.00829078366157	0.988895746758275	0.981267406458821	0.979766024343729	1.0329509660181	-0.239349773386055	-0.0235687649121981	0.102006255716446	0.158082901866529	0.187490379777954	0.203119456552075	0.209266591862709	0.210476448614262	0.167618497850847	1.19157836959509	1.07524568067043	1.02373062088486	0.998553534399315	0.985003718458896	0.978831724001258	0.979332796226831	1.03345551060547	1.09634669875779	0.0397919883501794	0.133536204234345	0.175048516297827	0.195336934391244	0.206255764536501	0.211229334615737	0.210825556251101	0.167211921357523	0.116532398913226
6	1.53320553560236	1.26972461850283	1.11510240892669	1.0448131966066	1.00813095868243	0.98917092130314	0.981205629155379	0.979303273718252	1.03158188285855	-0.235500976147716	-0.0231804993990663	0.10141850995057	0.158059572363645	0.187619171328169	0.202897713014827	0.20931637378492	0.210849346334896	0.168721744311134	1.1907068683164	1.0764178188984	1.02516401440961	0.998261120174027	0.984781422543064	0.978756662686256	0.979522639274147	1.03291538582782	1.09708954951626	0.0404942690656714	0.132591661646147	0.173893446701534	0.195572570157222	0.206434896958494	0.211289821175302	0.210672575280953	0.167647169388225	0.115933788475221
7	1.53782865064525	1.269865981651	1.11745521440079	1.04505284410515	1.00777395094587	0.989521292772284	0.98131032476819	0.979775479441801	1.0331377791043	-0.239226414789637	-0.0232944138766129	0.0995225518468241	0.157866457538846	0.187906858397371	0.20261537364017	0.209232007058593	0.210468829425167	0.167467958510229	1.19188437818678	1.07680765727431	1.02553123956429	0.996608645105355	0.984403678089337	0.978243068720245	0.979791332231269	1.03422924528658	1.09813061049327	0.0395453978540147	0.132277518706543	0.173597526143897	0.196904181942462	0.206739294268884	0.21170368991737	0.210456054792929	0.166588423769239	0.115094871693709
8	1.5347452365521	1.27018316589758	1.11663788930194	1.04585539261913	1.0076646716825	0.989936981956738	0.981291812579137	0.980811980552737	1.03314496679408	-0.236741711314794	-0.0235500100358828	0.100181175843422	0.15721974093797	0.187994918760726	0.20228039937792	0.209246924711258	0.209633587114464	0.167462166463737	1.1888942744128	1.08068705021201	1.02469127596146	0.997332490959448	0.983974909100986	0.978630205283967	0.979123693353558	1.03224760596659	1.09653806036846	0.0419549091985476	0.1291513926588	0.174274392896021	0.196320886201255	0.207084808612101	0.211391724175482	0.210994057341167	0.168185285545022	0.116378194241191
9	1.53645128490049	1.27048966065945	1.1148743145524	1.04540989137082	1.00803001264163	0.989637371219047	0.981171770398297	0.97963297226831	1.0332450345719	-0.238116493984728	-0.0237969923019099	0.101602314936624	0.157578738615963	0.187700516541877	0.202521834299909	0.209343658142076	0.210583665791112	0.167381528979525	1.18959494523733	1.07522485996394	1.02140830389605	0.997024898663364	0.984280696256654	0.978376915530754	0.979371058549882	1.03275428222792	1.09704640735197	0.0413902885605736	0.133552982156544	0.176919905906048	0.196568752891822	0.206838396555434	0.211595832320199	0.210794723374241	0.167776991287712	0.11596855366805
10	1.53523571883997	1.26909298102747	1.11790168040064	1.04705390891545	1.00857049347116	0.989188024527584	0.98106865287989	0.980709620651548	1.03381198759083	-0.23713695600403	-0.0226715078129669	0.0991627767443886	0.156253942146066	0.187264981594364	0.202883930746237	0.20942675319469	0.209716071657404	0.166924661982862	1.18781096665639	1.07677485427763	1.02398794989031	0.996975320920351	0.984783136649659	0.978386478067301	0.979146770367234	1.0333454758465	1.09684658977261	0.0428278696460748	0.132303952301692	0.174841153207855	0.196608704058488	0.206433515682257	0.211588126554101	0.21097546122195	0.167300590520896	0.116129572402079
