"sex"	"age"	"all"	"bmonly"
-2.25137553029438e-05	0.00479857117998349	0.00143897681075009	0.00193494073170291
-3.14247511874225e-05	0.00478569561033514	0.00160998219096513	0.00200546433569084
-7.51932769066076e-05	0.00471413510369848	0.00155233748255041	0.00197372660673758
-4.63456374762103e-05	0.00487293477694249	0.00148989817191175	0.00214035993144007
-2.59386152320583e-05	0.00479446793769172	0.00149191740167121	0.00205023878338423
-1.70905272229468e-05	0.00477829545039159	0.0014550399420643	0.00210320674768225
-1.07744554987188e-06	0.0045742820444594	0.00154305630396574	0.00212356439055694
-3.68843271292281e-05	0.00459167482440108	0.00147483394101917	0.00198951524926987
4.03261811279427e-05	0.00480969811771956	0.00150153554944727	0.00206588079671762
1.93198043163645e-06	0.00463812965159599	0.00153636553278957	0.00210596710780427
-9.33279247289493e-05	0.00471848154009893	0.00138674944477655	0.00206434467009457
-1.08997910460835e-05	0.00475794363168588	0.00158811165883834	0.00208268420496297
-6.73446044309523e-05	0.00469908153847399	0.00147632993160845	0.00208350003976639
2.64801582637864e-07	0.00475864011661025	0.00148662556023972	0.00211749162472403
-4.83280465728352e-05	0.0047330105127062	0.00158043520958378	0.00205678445339824
7.67995598118071e-06	0.00467097191260805	0.00165223371756058	0.00199743322154208
-2.63912222160883e-05	0.00464439266110901	0.00158089253532425	0.00204359006142194
-3.09470566313544e-05	0.00466979501801438	0.00154345411502624	0.00206452177677156
-2.18032867104647e-05	0.004812360977548	0.00145951459024664	0.00195249028862481
-1.77461554934751e-05	0.00453023037785922	0.00145379356205348	0.00205655572033023
-3.57222779283995e-05	0.00470156208033301	0.00137726262209104	0.00207812830364276
-9.61291501755404e-05	0.00464668867833534	0.00148102722529522	0.00208859052530955
-5.41771014752804e-05	0.00472869379162987	0.0015594663594846	0.00206642758416761
-6.47725652842988e-05	0.00464917199996162	0.00154550900904295	0.00215128009175017
-3.22126792723886e-05	0.00461858417567707	0.0014660057893692	0.00206558044483829
-4.69218849722179e-05	0.00457890873378087	0.00143712865699238	0.00204531517363704
3.85306686848891e-05	0.00453570270868094	0.00148842604861197	0.00205526053094039
-1.86626087132608e-05	0.00479281316042619	0.00158697670362105	0.00202868968228578
-6.39777844949422e-05	0.00478101073869794	0.00159829813912673	0.00199203032761907
-3.46437405141547e-05	0.00472365602852872	0.00167052791442145	0.00201835984983813
3.68230048936935e-06	0.00489876326142564	0.00153576973841554	0.00203601823187843
-1.10600091691036e-05	0.00463853518467319	0.00144394420562582	0.00208953851874682
-6.25341891604154e-05	0.00457090927130942	0.00151367394044455	0.00203995058871626
