"sex"	"age"	"all"	"bmonly"	"N1"	"N2"	"N3"	"N4"	"N5"	"N6"	"N7"	"N8"	"N9"	"N10"
7.71202609362509e-06	0.00320560475769257	0.000787086538480845	0.00169164378067589	-5.32326494307252e-05	-3.63215352014004e-05	-2.28515035026323e-05	-4.93167613969144e-05	-7.9865219135723e-06	-4.91134968180418e-06	-8.8648051774728e-05	-4.10662020157959e-06	-5.57336057609974e-05	-5.61677197436368e-05
-2.58163431457353e-05	0.0031469816450074	0.000831811211575802	0.00158543379342312	-5.28813171586668e-05	-1.89924363838985e-05	-2.41308728527536e-05	-2.05552832884403e-05	-6.11291793556e-05	-2.77680730167734e-06	-8.58600797376992e-05	1.12407806197182e-05	-4.78087574682252e-05	-5.44798311653804e-05
-2.76638187929493e-05	0.00315770277059519	0.000805823110630026	0.00171088958959894	-7.61292112884706e-05	-3.16349044525477e-06	-4.8717077981788e-05	-1.15542621293817e-05	-5.68067337480753e-05	-1.06965954837563e-05	-8.22313108885711e-05	1.97891834935867e-05	-2.91264887858942e-05	-6.86060336661595e-05
1.19938232419182e-05	0.00312923991115081	0.000864363387919513	0.00169027991976259	-3.70988566157028e-05	-1.30958050075994e-05	-2.13056502134074e-05	-1.70707401591049e-05	-6.19981331580795e-05	1.08049482040447e-05	-0.000100511416436463	2.51920719848809e-05	-3.77914799392092e-05	-6.53978125227493e-05
-2.21693183046338e-05	0.00326046476648097	0.000802953762996193	0.00169281205783348	-7.50292134184554e-05	-6.76676205852877e-06	-4.16631994474469e-05	-5.54129294343784e-05	-5.0976203302632e-05	-5.04638385512546e-05	-7.76095457659587e-05	2.76526170432256e-05	-3.19951198211958e-05	-5.75287168676226e-05
-2.29555686047423e-05	0.00320615357026834	0.000909806083722467	0.0017346049553856	-4.11646677858676e-05	-1.42919863810345e-05	-1.94662062875456e-05	-4.91528227834109e-05	-7.78020602873355e-05	-3.2118474408837e-05	-0.000104042563061952	-6.30998209385059e-06	-5.38825133354541e-05	-6.42976172037593e-05
-1.84583652823116e-05	0.00325511113842498	0.000868713653884937	0.00159049905109045	-5.19437677107141e-05	6.328345263162e-06	-3.14500425516445e-06	-5.65775866623541e-05	-2.50711862561412e-05	-2.61242999173126e-05	-0.000108213230810679	1.55936568374781e-05	-2.19621987454507e-05	-1.27726600174651e-05
1.14942248987683e-05	0.00318212803437406	0.000833092654362559	0.00166477602087055	-2.74723125480213e-05	6.27699021715655e-06	-4.91218364996963e-05	-5.81358287284744e-06	-8.68573552031729e-05	-2.76187533768522e-05	-8.49614325471648e-05	9.22525348293624e-08	-4.69790167142352e-05	-6.19956573012286e-05
-2.03451836162805e-06	0.00342978183477292	0.000838737425495741	0.00163813458199973	-5.69635203237736e-05	7.53635767841737e-06	-3.24628425854585e-05	-7.80387500462892e-05	1.12961358008499e-05	-5.5961341218676e-06	-8.00890276924255e-05	4.24326046831615e-05	3.16491001866348e-05	-1.6333270474326e-05
-3.69948673851482e-05	0.00324701147302664	0.00085152416532444	0.00169689381381806	-2.58895464325632e-05	8.38968538724671e-07	-4.62717418083722e-05	-5.34520294707581e-05	-5.29912613633808e-05	-1.20189509873733e-05	-9.47042323030143e-05	-2.50191889273699e-05	-6.61984797203922e-05	-2.91617229195278e-05
-2.93773995736837e-05	0.00323573297062324	0.00091276636998841	0.00162822208920791	-7.01176428275735e-06	2.5411876878058e-05	-3.21528744202271e-05	-4.76228436911409e-05	-2.52451147328813e-05	-4.14488057665681e-05	-8.90986326379136e-05	5.30923764241559e-06	-4.58609533601253e-05	-5.11557942437126e-05
-8.41420930533837e-06	0.00320716612600703	0.000840252345336197	0.00158783180541706	-2.10074000991089e-05	-1.34171946584073e-05	-1.51849877726757e-05	-7.56629949685225e-05	-1.86124337222078e-05	-2.21473214360435e-05	-9.16297179526464e-05	3.16377418040685e-05	-2.88582153894122e-05	-6.24923034979413e-05
-2.61643348769741e-05	0.00334926904477177	0.00085173496095787	0.00166218852248241	-3.49658042041756e-05	-1.22536868301107e-05	-4.97493947750807e-05	-7.16261579643453e-05	-7.24013345598317e-05	-3.19784659718355e-05	-9.62697867133002e-05	-1.03162975664409e-05	-2.35321412350887e-05	-1.46790768978509e-05
