"forest"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
11	1.53451968506347	1.26954450085391	1.11636503064313	1.04549646222197	1.00793893287674	0.989527839171639	0.981274082386185	0.979849440994032	1.03355369901226	-0.236559955458909	-0.0230353554337601	0.100401053173288	0.157508977342199	0.1877739112276	0.202610098363892	0.209261212209047	0.210409229085972	0.167132798324363	0.619431256010121	0.70895297721944	0.819609055301716	0.898631522380625	0.936784641084269	0.954794097811406	0.968274795498398	1.02804262226277	1.09353012034806	0.50084453539607	0.42870536594213	0.339535525817846	0.275856956345922	0.24511207948053	0.230599542935633	0.219736410260543	0.171573781966486	0.118802078544435
12	1.53721808464918	1.27322898358474	1.11713929211212	1.04336586569834	1.00832229806091	0.989204931961147	0.980529175541841	0.980612498240991	1.03275377527496	-0.238734403205649	-0.0260044172489178	0.0997771310842311	0.159225873103135	0.187464984571471	0.202870306251551	0.209861479499997	0.209794335680239	0.167777399804943	0.619661411260165	0.710024431849487	0.820449279385105	0.898063514228945	0.93685905556369	0.955459338694335	0.967586004863254	1.02758775077618	1.09357482933014	0.50065906969725	0.427841957083643	0.338858449163018	0.276314673598805	0.24505211415962	0.230063472760339	0.220291457501321	0.17194033045112	0.118766050764918
13	1.53497882645979	1.27152605131673	1.11647885584343	1.04581804902929	1.00833890474154	0.989612501084554	0.980583646110691	0.980835666539627	1.03259206250872	-0.236929944759219	-0.0246321456058922	0.100309329563624	0.157249833473272	0.187451602432127	0.202541875367287	0.209817585553998	0.209614500267173	0.167907712588126	0.619178660539615	0.709021123619615	0.819812486278632	0.898157046700118	0.937601206794095	0.955452028676451	0.968086596342857	1.02723663224106	1.09382655735155	0.501048084067879	0.428650451619177	0.339371595304472	0.276239302452046	0.244454067421382	0.230069363382322	0.219888066535571	0.172223271832955	0.118563201108456
14	1.5349444715656	1.26863122590292	1.11610306359157	1.04680767203913	1.00834994782823	0.989815006136164	0.98117089288119	0.979751260224606	1.03270920551505	-0.236902260600558	-0.0222994122955262	0.100612153733785	0.156452366880379	0.187442703596274	0.20237869099107	0.209344365270518	0.210488345964725	0.167813315395251	0.620015776850239	0.710650385950304	0.819550935275997	0.898097767558609	0.936718000427204	0.955155008700612	0.96741905738483	1.0281902997044	1.09311257434008	0.500373511745441	0.42733754532369	0.339582360600817	0.276287071283751	0.245165780432518	0.230308710594136	0.220425988565662	0.171454779250244	0.119138549088321
15	1.53712082559098	1.27257045755077	1.11714347405649	1.04608229038782	1.00783234650245	0.988914663313999	0.981307958180652	0.98018797098086	1.03328680662303	-0.238656029068226	-0.025473758091425	0.0997737611535632	0.157036900211019	0.187859801583727	0.203104213049152	0.209233914122678	0.210136431917249	0.167347867863159	0.61962684749145	0.708166263662855	0.82033368618067	0.897574475095793	0.936810062127852	0.95532158267227	0.967570497188121	1.02715817733575	1.09373412333056	0.500686922172992	0.429339322280364	0.3389515974811	0.27670875535259	0.245091594474814	0.230174480512255	0.220303954030534	0.172286493044877	0.118637687092563
16	1.53809110507915	1.27171033614815	1.11562257291296	1.04655250221538	1.00786251264719	0.98908063035365	0.980965982736712	0.979731411294793	1.03304277813195	-0.239437908096793	-0.0247806476063233	0.100999346897822	0.156657990039838	0.187835492839466	0.202970472050483	0.209509487739519	0.210504340801419	0.167544513017336	0.619346323248852	0.709741716284285	0.819995087903745	0.898132231107448	0.937660567210717	0.955082730088199	0.968551406227151	1.02757151792879	1.09371110836228	0.500912976650043	0.428069777391272	0.33922444967994	0.276259299568059	0.244406233095861	0.230366954772177	0.219513509405145	0.171953411344921	0.118656233213824
17	1.53275164881899	1.26987018132336	1.11722858525394	1.04529392937583	1.0073874055662	0.988958985936247	0.980980674861913	0.979586771843104	1.03407978644799	-0.235135221165176	-0.0232977980930025	0.0997051761105974	0.157672184116044	0.1882183477462	0.203068496609457	0.209497648403823	0.210620895418266	0.166708861986223	0.620906475115436	0.709227356264188	0.819935995514209	0.89784468032883	0.936839583854991	0.954877676683344	0.967527208057021	1.0267270116014	1.09360212437926	0.499655761547865	0.428484263441684	0.339272068021551	0.276491016229279	0.245067805020725	0.230532192684498	0.220338837653433	0.172633938754736	0.118744055631807
18	1.53473336107843	1.26955647133883	1.11644402486397	1.04513359508253	1.00922646445332	0.989578504000544	0.980866789689172	0.979622429152167	1.03226878070358	-0.236732141717656	-0.0230450015936925	0.100337397365445	0.157801386086217	0.186736381370873	0.202569271192246	0.209589420340998	0.210592161736362	0.168168222334895	0.619296085761956	0.709466319905134	0.819588312709686	0.898241427654688	0.936311667975862	0.954717820099311	0.967755423766565	1.02732585092025	1.09427939115916	0.500953459457246	0.428291699688947	0.339552240793174	0.276171305859731	0.245493214770979	0.230661009702849	0.220154934891953	0.172151376863447	0.118198294643968
19	1.5348911664821	1.26921450637501	1.11544167512684	1.04514343535626	1.00912519471102	0.989169702783946	0.981237971541962	0.979908457721474	1.03358052322653	-0.236859305836068	-0.022769436422037	0.101145119520052	0.157793456511536	0.186817987432525	0.202898694932527	0.209290311362585	0.210361671715044	0.167111182603478	0.620129290414124	0.709533401277563	0.819515765534951	0.898463437021008	0.936589783534378	0.955237050335943	0.96891799109679	1.02602622192514	1.09383809563591	0.500282039261336	0.428237643595883	0.339610701386435	0.275992404347551	0.245269101280615	0.230242599092329	0.219218104807546	0.173198655166849	0.118553903228127
20	1.53560103455581	1.27099056803027	1.11685160995155	1.04513976964712	1.00870347265648	0.98982957648655	0.981198890106102	0.979128084405765	1.03262913321268	-0.237431337881113	-0.0242006378218607	0.100008953616797	0.157796410445057	0.18715782315445	0.202366949785011	0.20932180430403	0.210990518905411	0.167877839952097	0.619462841226199	0.710959263735126	0.81893603382569	0.898484278544071	0.937266937489272	0.95490877754608	0.967682684672921	1.02671126781231	1.09398878869303	0.500819083123437	0.427088642749445	0.34007786581812	0.27597560965076	0.244723431210395	0.230507130717673	0.220213550138973	0.17264662555134	0.11843247044247
