"num.obs"	"min.node.size"	"min.node.size.power"	"scaling"	"scaling.base"	"scaling.power"	"test"	"type"	"rejection.rate"	"num.batches"
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.044	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.036	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
100	39	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.044	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.052	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.048	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
250	82	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.052	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.044	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.052	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
500	144	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.064	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.04	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.032	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0.996	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
1000	251	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.048	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
2000	437	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
5000	910	0.8	"sqrt(k_n), k_n = n^(4/5)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
