"num.obs"	"min.node.size"	"min.node.size.power"	"scaling"	"scaling.base"	"scaling.power"	"test"	"type"	"rejection.rate"	"num.batches"
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.836	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.204	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.828	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.14	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0.036	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.764	250
100	10	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.312	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.396	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.848	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.376	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.808	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0.008	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.04	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.332	250
250	15	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.852	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.164	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.968	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.152	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.932	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.084	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.188	250
500	22	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.972	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.108	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.908	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.116	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.852	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.04	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.068	250
1000	31	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.94	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.196	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.656	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.18	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.552	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.008	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.208	250
2000	44	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.744	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.216	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	0.716	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.18	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.628	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.012	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.244	250
5000	70	0.5	"sqrt(k_n), k_n = n^(1/2)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	0.748	250
